sample_id,barcode,lote,sexo,tratamiento,cepa_probiotico
CONTROL_macho1,barcode01,Lote1,M,Control,NA
CONTROL_macho2,barcode02,Lote1,M,Control,NA
CONTROL_macho3,barcode03,Lote1,M,Control,NA
CONTROL_macho4,barcode04,Lote1,M,Control,NA
CONTROL_hembra1,barcode05,Lote1,F,Control,NA
CONTROL_hembra2,barcode06,Lote1,F,Control,NA
CONTROL_hembra3,barcode07,Lote1,F,Control,NA
CONTROL_hembra4,barcode08,Lote1,F,Control,NA
LM20_macho1,barcode09,Lote1,M,LM20,P_plantarum_LM20
LM20_macho2,barcode10,Lote1,M,LM20,P_plantarum_LM20
LM20_macho3,barcode11,Lote1,M,LM20,P_plantarum_LM20
LM20_macho4,barcode12,Lote1,M,LM20,P_plantarum_LM20
LM20_hembra1,barcode13,Lote1,F,LM20,P_plantarum_LM20
LM20_hembra2,barcode14,Lote1,F,LM20,P_plantarum_LM20
LM20_hembra3,barcode15,Lote1,F,LM20,P_plantarum_LM20
LM20_hembra4,barcode16,Lote1,F,LM20,P_plantarum_LM20
G7_macho1,barcode17,Lote1,M,G7,P_plantarum_G7
G7_macho2,barcode18,Lote1,M,G7,P_plantarum_G7
G7_macho3,barcode19,Lote1,M,G7,P_plantarum_G7
G7_macho4,barcode20,Lote1,M,G7,P_plantarum_G7
G7_hembra1,barcode21,Lote1,F,G7,P_plantarum_G7
G7_hembra2,barcode22,Lote1,F,G7,P_plantarum_G7
G7_hembra3,barcode23,Lote1,F,G7,P_plantarum_G7
G7_hembra4,barcode24,Lote1,F,G7,P_plantarum_G7
CONTROL_macho5,barcode01,Lote2,M,Control,NA
CONTROL_macho6,barcode02,Lote2,M,Control,NA
CONTROL_macho7,barcode03,Lote2,M,Control,NA
CONTROL_macho8,barcode04,Lote2,M,Control,NA
CONTROL_hembra5,barcode05,Lote2,F,Control,NA
CONTROL_hembra6,barcode06,Lote2,F,Control,NA
CONTROL_hembra7,barcode07,Lote2,F,Control,NA
CONTROL_hembra8,barcode08,Lote2,F,Control,NA
LM20_macho5,barcode09,Lote2,M,LM20,P_plantarum_LM20
LM20_macho6,barcode10,Lote2,M,LM20,P_plantarum_LM20
LM20_macho7,barcode11,Lote2,M,LM20,P_plantarum_LM20
LM20_macho8,barcode12,Lote2,M,LM20,P_plantarum_LM20
LM20_hembra5,barcode13,Lote2,F,LM20,P_plantarum_LM20
LM20_hembra6,barcode14,Lote2,F,LM20,P_plantarum_LM20
LM20_hembra7,barcode15,Lote2,F,LM20,P_plantarum_LM20
LM20_hembra8,barcode16,Lote2,F,LM20,P_plantarum_LM20
G7_macho5,barcode17,Lote2,M,G7,P_plantarum_G7
G7_macho6,barcode18,Lote2,M,G7,P_plantarum_G7
G7_macho7,barcode19,Lote2,M,G7,P_plantarum_G7
G7_macho8,barcode20,Lote2,M,G7,P_plantarum_G7
G7_hembra5,barcode21,Lote2,F,G7,P_plantarum_G7
G7_hembra6,barcode22,Lote2,F,G7,P_plantarum_G7
G7_hembra7,barcode23,Lote2,F,G7,P_plantarum_G7
G7_hembra8,barcode24,Lote2,F,G7,P_plantarum_G7
PS128_macho1,barcode01,Lote3,M,PS128,P_plantarum_PS128
PS128_macho2,barcode02,Lote3,M,PS128,P_plantarum_PS128
PS128_macho3,barcode03,Lote3,M,PS128,P_plantarum_PS128
PS128_macho4,barcode04,Lote3,M,PS128,P_plantarum_PS128
PS128_hembra1,barcode05,Lote3,F,PS128,P_plantarum_PS128
PS128_hembra2,barcode06,Lote3,F,PS128,P_plantarum_PS128
PS128_hembra3,barcode07,Lote3,F,PS128,P_plantarum_PS128
PS128_hembra4,barcode08,Lote3,F,PS128,P_plantarum_PS128
PS128_macho5,barcode09,Lote3,M,PS128,P_plantarum_PS128
PS128_macho6,barcode10,Lote3,M,PS128,P_plantarum_PS128
PS128_macho7,barcode11,Lote3,M,PS128,P_plantarum_PS128
PS128_macho8,barcode12,Lote3,M,PS128,P_plantarum_PS128
PS128_hembra5,barcode13,Lote3,F,PS128,P_plantarum_PS128
PS128_hembra6,barcode14,Lote3,F,PS128,P_plantarum_PS128
PS128_hembra7,barcode15,Lote3,F,PS128,P_plantarum_PS128
PS128_hembra8,barcode16,Lote3,F,PS128,P_plantarum_PS128
